sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cb_color,cb_size,cc_color,cc_size,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,l_color,l_size,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,ob_size,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB-G-OL,cb_color,OL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB-G-MA,cb_color,MA,
CB-S-BL,,"Crate Bed",simple,,,base,BL,S,,,,,"South Africa","2014-10-21 19:34:02",,,,,"Crate Bed",,,,0,no_selection,,,,,,,,,,,"Use config","Use config","Crate Bed-S-BL",,,,"Product Info Column",,0.0000,0,"Crate Bed",no_selection,,,,,1,0,no_selection,,"2014-10-25 13:26:58",crate-bed-s-bl,crate-bed-s-bl.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-S-OL,,"Crate Bed",simple,,,base,OL,S,,,,,"South Africa","2014-10-21 19:34:13",,,,,"Crate Bed",,,,0,no_selection,,,,,,,,,,,"Use config","Use config","Crate Bed-S-OL",,,,"Product Info Column",,0.0000,0,"Crate Bed",no_selection,,,,,1,0,no_selection,,"2014-10-25 13:26:58",crate-bed-s-ol,crate-bed-s-ol.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-S-MA,,"Crate Bed",simple,,,base,MA,S,,,,,"South Africa","2014-10-21 19:34:24",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-S-MA",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-s-ma,crate-bed-s-ma.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-M-BL,,"Crate Bed",simple,,,base,BL,M,,,,,"South Africa","2014-10-21 19:37:48",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-M-BL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-m-bl,crate-bed-m-bl.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-M-OL,,"Crate Bed",simple,,,base,OL,M,,,,,"South Africa","2014-10-21 19:38:10",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-M-OL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-m-ol,crate-bed-m-ol.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-M-MA,,"Crate Bed",simple,,,base,MA,M,,,,,"South Africa","2014-10-21 19:38:17",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-M-MA",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-m-ma,crate-bed-m-ma.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-L-BL,,"Crate Bed",simple,,,base,BL,L,,,,,"South Africa","2014-10-21 19:38:54",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-L-BL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-l-bl,crate-bed-l-bl.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-L-OL,,"Crate Bed",simple,,,base,OL,L,,,,,"South Africa","2014-10-21 19:39:05",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-L-OL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-l-ol,crate-bed-l-ol.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
